,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave_points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave_points_se,symmetry_se,fractal_dimension_se,radius_max,texture_max,perimeter_max,area_max,smoothness_max,compactness_max,concavity_max,concave_points_max,symmetry_max,fractal_dimension_max,Diagnosis
count,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455
unique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benign
freq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285
mean,14.105903296703298,19.238175824175823,91.84613186813188,653.8096703296703,0.09641745054945057,0.10445714285714287,0.08812299714285714,0.04881721318681319,0.18093560439560438,0.06279446153846154,0.4066501098901099,1.2137639560439561,2.886502637362637,40.75584835164835,0.0071063956043956045,0.02547536923076923,0.03131304747252747,0.011756061538461537,0.020595204395604395,0.003812501318681319,16.27489230769231,25.674043956043956,107.39408791208791,883.6549450549451,0.1326929230769231,0.25469635164835164,0.2699301978021978,0.11421307912087911,0.2901096703296704,0.08400417582417584,
std,3.5607450111852628,4.29387243611779,24.599070412940613,358.3179536968822,0.014081054369769313,0.053985054051855406,0.08098003221440458,0.03938373052847983,0.027683633709283187,0.007059899732705292,0.2886312648396557,0.5603812485835432,2.130004942941068,48.006525716569314,0.0031809763160590577,0.018372221398591813,0.029061782747588038,0.006279724334257543,0.00855513006438142,0.0027526509970223156,4.914671410163106,6.246575971178321,34.341049850551585,583.3367861650197,0.02282462526591208,0.16118352283455106,0.20796287757177806,0.06578041707159257,0.06073081498430264,0.017964809498612577,
min,6.981,9.71,43.79,143.5,0.06251,0.01938,0.0,0.0,0.106,0.04996,0.1144,0.3602,0.7714,6.802,0.001713,0.002252,0.0,0.0,0.007882,0.0008948,7.93,12.02,50.41,185.2,0.07117,0.02729,0.0,0.0,0.1565,0.05504,
25%,11.64,16.07,74.43,414.45,0.08621000000000001,0.06351499999999999,0.029195,0.019685,0.16155,0.057635,0.23235,0.8324,1.613,18.03,0.005185,0.013115,0.01514,0.0075485,0.015009999999999999,0.002249,12.940000000000001,20.92,83.715,510.05,0.1169,0.14775,0.11445,0.06453,0.25055,0.071895,
50%,13.47,18.83,86.91,559.2,0.09566,0.09218,0.05892,0.03279,0.1788,0.06155,0.3197,1.095,2.235,24.19,0.006356,0.02015,0.02509,0.01067,0.01852,0.003114,14.99,25.4,97.67,688.9,0.1316,0.2096,0.2247,0.0991,0.2823,0.08006,
75%,15.74,21.89,103.5,770.05,0.1052,0.12974999999999998,0.12505,0.070525,0.1958,0.06612,0.4718,1.469,3.3209999999999997,44.69,0.008135,0.032064999999999996,0.03992,0.014645,0.023295,0.0045590000000000006,18.655,30.08,125.25,1060.0,0.14625,0.3304,0.38025,0.1608,0.31899999999999995,0.09212999999999999,
max,28.11,33.56,188.5,2501.0,0.1634,0.3454,0.4268,0.2012,0.2906,0.09575,2.873,4.885,21.98,542.2,0.03113,0.1354,0.396,0.05279,0.07895,0.02984,36.04,49.54,251.2,4254.0,0.2226,1.058,1.17,0.291,0.5774,0.2075,
